Date,G40,G42,G43,G44,G45,G46,G47,G48,G49,G51,G53,G65
Jul-14,3.769677419,4.427741935,4.91,2.028387097,2.311290323,,,,3.04483871,3.869354839,3.42,4.321612903
Aug-14,4.684193548,4.337419355,5.572580645,2.402258065,2.322258065,,,,3.012258065,3.512333333,3.235806452,4.091935484
Sep-14,3.630666667,4.297333333,4.198666667,2.236666667,2.509,,,,3.223,3.837333333,3.560333333,4.550666667
Oct-14,2.629354839,4.590967742,2.646470588,,2.908387097,,,,3.462258065,3.859354839,3.631935484,4.315806452
Nov-14,2.664,4.504333333,2.58,,2.797857143,,,,3.457,3.926,3.497,4.304333333
Dec-14,2.934347826,5.473,2.567241379,,3.689642857,,,,4.013225806,3.973548387,4.123548387,4.33
Jan-15,3.749354839,6.59826087,2.555,,4.355238095,,,,4.471935484,3.886774194,4.696129032,4.291290323
Feb-15,3.241428571,5.656428571,2.569047619,,3.927083333,,,,4.481785714,3.898928571,4.8025,4.372142857
Mar-15,2.820645161,5.317741935,2.398,,3.646451613,,,,3.967,3.859354839,4.307741935,4.307741935
Apr-15,2.847666667,5.404333333,3.377692308,,3.793666667,,,,4.14,4.032333333,4.141,4.475666667
May-15,3.417419355,6.733793103,4.102258065,2.499354839,5.394642857,,,,5.17,4.164193548,4.956451613,4.632903226
Jun-15,4.207,7.970833333,4.587,2.068,6.56,,,,6.669666667,4.888333333,6.854666667,5.2604
Jul-15,4.021724138,5.323333333,5.431612903,1.859354839,3.198928571,,,,4.219354839,4.195483871,4.546129032,4.477333333
Aug-15,4.575483871,4.91483871,5.777741935,2.010322581,2.721333333,,,,3.612258065,3.857096774,3.794516129,4.887741935
Sep-15,3.796521739,5.080666667,4.346666667,2.0016,2.934333333,,,,3.675333333,3.789,3.803333333,4.471333333
Oct-15,3.042580645,5.421290323,2.759473684,1.695,3.151612903,,,,3.934516129,3.832580645,3.95483871,4.329677419
Nov-15,3.023333333,5.64,2.737142857,1.393333333,3.507,,,,4.172333333,4.050333333,4.247333333,4.400333333
Dec-15,3.158064516,5.578,2.842580645,,3.521612903,,,,4.212,4.767741935,4.401290323,4.827741935
Jan-16,3.666774194,5.742083333,2.888387097,,3.658064516,,,,5.225185185,4.621935484,5.309677419,4.634193548
Feb-16,3.504827586,5.908275862,3.038965517,,3.752857143,,,,4.545,5.15862069,4.993448276,4.851034483
Mar-16,3.259032258,5.581935484,3.01483871,,3.021290323,,,,4.360967742,4.819032258,4.293225806,4.619032258
Apr-16,3.948571429,5.766551724,3.922333333,1.548,3.188333333,,,,4.567666667,5.046,4.543666667,4.814827586
May-16,4.814193548,6.837931034,4.869677419,2.228125,4.343225806,,,,5.476451613,5.979677419,5.572903226,5.66483871
Jun-16,5.022666667,6.705666667,5.361,2.258666667,4.129666667,,,,5.436,4.766,5.574333333,4.503
Jul-16,4.895483871,5.018064516,5.614193548,1.836451613,2.107857143,,,,3.927741935,4.015806452,3.915483871,4.179032258
Aug-16,4.7,4.883225806,5.486774194,1.679677419,1.929677419,,,,3.613870968,3.783548387,3.608064516,3.98137931
Sep-16,3.901666667,5.283666667,4.159666667,1.617777778,2.649333333,,,,3.996,3.757,4.033,4.092666667
Oct-16,3.146785714,5.218387097,2.861612903,,2.446071429,,,,3.901935484,4.10516129,3.958387097,4.579032258
Nov-16,3.256666667,5.344666667,3.696,,2.885333333,,,,4.1525,4.092,4.203666667,4.426956522
Dec-16,3.880645161,5.124615385,3.739032258,,3.486428571,,,,4.719583333,4.040322581,4.560357143,4.347407407
Jan-17,4.978709677,5.185714286,3.631333333,1.456,4.077586207,,,,4.882631579,4.106896552,4.767419355,4.53
Feb-17,3.49962963,5.436666667,3.39,,3.148571429,,,,4.520740741,4.1325,4.448214286,4.464074074
Mar-17,3.168709677,5.543225806,2.75516129,,3.361935484,,,,4.414193548,4.100322581,4.333225806,4.4244
Apr-17,3.195333333,5.129333333,2.990666667,,2.920333333,,,,4.145925926,4.147666667,4.104666667,4.702333333
May-17,4.046774194,5.371612903,4.716451613,1.485,3.180967742,,,,4.41516129,4.804516129,4.442258065,5.967741935
Jun-17,4.158666667,5.151666667,5.025666667,1.888666667,2.920333333,,,,4.236428571,4.531,4.146,4.603333333
Jul-17,4.422258065,4.448709677,5.360322581,2.116451613,2.121290323,,,,3.569354839,4.057741935,3.248709677,4.299354839
